category,subcategory,date,location,payee,description,method,amount
Shopping,,1/1/04,,,Mad Platter Riverside Ca,,1805
Other Spending,,1/2/04,,,Bill Pay Service Fee On 01-01,,695
Shopping,,1/2/04,,,Music Mikes Riverside Ca,,2904
Entertainment,,1/4/04,,,Tremors Riverside Ca,,1200
,,1/4/04,,,Historic Mission Inn Riverside Ca,,323
Cash/ATM,,1/5/04,,,ATM Withdrawal - 01/05 0887J Riverside Riverside Ca 3319,,4000
Auto/Transportation,,1/7/04,,,Union 76 00379982 Riverside Ca,,2463
Checks Written,,1/8/04,,,Check #307,,47500
Food/Drink,,1/8/04,,,Get A Way Cafe Riverside Ca,,1945
Groceries,,1/8/04,,,2995 Iowa Ave. Stater 114Riverside Ca 3319,,3937
Shopping,,1/8/04,,,Mad Platter Riverside Ca,,1076
Cash/ATM,,1/10/04,,,ATM Withdrawal - 01/10 Rx9820 1200 Garnet Avetavern At San Diego Ca 3319,,6200
Auto/Transportation,,1/11/04,,,Exxonmobil59 02355469 Fallbroo Ca,,2189
Groceries,,1/12/04,,,2995 Iowa Ave. Stater 114Riverside Ca 3319,,5489
Other Spending,,1/12/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Bills/Utilities,,1/13/04,,,Bill Pay Riverside Utilit On-Line 278678132713 On 01-13,,6468
Bills/Utilities,,1/13/04,,,Bill Pay Charter Communic On-Line 04512201249060 On 01-13,,10000
Credit Card/Loan Payments,,1/13/04,,,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 01-13,,10000
Credit Card/Loan Payments,,1/13/04,,,Bill Pay Wells Fargo Mast On-Line 5490950002018291 On 01-13,,10000
Other Spending,,1/13/04,,,Monthly Point-Of-Sale (Pos) Purchase Fee Total Other Withdrawals,,100
Other Spending,,1/13/04,,,Monthly Service Fee,,375
Auto/Transportation,,1/15/04,,,Shell Oil 20465520656 Riverside Ca,,501
Cash/ATM,,1/15/04,,,ATM Withdrawal - 01/15 Scad6808 *U C Riverside B Of A Riverside Ca 3319,,4150
Other Spending,,1/15/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Entertainment,,1/16/04,,,Tremors Riverside Ca,,700
,,1/16/04,,,1201 Universitytokyo Tonybox Springs Ca 3319,,565
Auto/Transportation,,1/18/04,,,Shell Oil 61635192007 Cabazon Ca,,1606
Cash/ATM,,1/19/04,,,ATM Withdrawal - 01/19 3060046 5797 North Victglobal Cashighland Ca 3319,,10400
Groceries,,1/19/04,,,2995 Iowa Ave. Stater 114Riverside Ca 3319,,3474
Other Spending,,1/20/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Shopping,,1/21/04,,,UCR Bookstore Riverside Ca,,3069
,,1/24/04,,,Circle Bar Santamonica Ca,,1350
Auto/Transportation,,1/25/04,,,1294 Universityarco Payporiverside Ca 3319,,3629
Cash/ATM,,1/25/04,,,ATM Withdrawal - 01/25 Scad4057 *Corona-01 B Of A Corona Ca 3319,,2150
Auto/Transportation,,1/26/04,,,Exxonmobil34 07865660 Riversid Ca,,2684
Other Spending,,1/26/04,,,Non-Wells Fargo ATM Transaction Fee,,200
,,1/26/04,,,2650 N Main St L And L Mariverside Ca 3319,,14225
Groceries,,1/28/04,,,2995 Iowa Ave. Stater 114Riverside Ca 3319,,2973
Cash/ATM,,1/29/04,,,ATM Withdrawal - 01/29 Lk277350 3204 Mission Incoffee Depriverside Ca 3319,,2175
Food/Drink,,1/29/04,,,Mi Tortilla Mexican Gr Riverside Ca,,322
Food/Drink,,1/29/04,,,Coffee Depot 909-2222263 Ca,,351
Auto/Transportation,,1/30/04,,,23145 Hemlock Aarco Paypomoreno Valleyca 3319,,2545
Other Spending,,1/30/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Shopping,,1/30/04,,,3700 Tyler Mallmacys Westriverside Ca 3319,,10234
,,1/30/04,,,1240 Galleria @Journeys #Riverside Ca 3319,,6464
Other Spending,,2/2/04,,,Bill Pay Service Fee On 02-01,,695
Cash/ATM,,2/3/04,,,ATM Withdrawal - 02/03 Co9403 800 University Service Plriverside Ca 3319,,2150
Other Spending,,2/3/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Bills/Utilities,,2/4/04,,,Bill Pay Riverside Utilit On-Line 278678132713 On 02-04,,4884
Credit Card/Loan Payments,,2/4/04,,,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 02-04,,10000
Credit Card/Loan Payments,,2/4/04,,,Bill Pay Wells Fargo Mast On-Line 5490950002018291 On 02-04,,10000
Groceries,,2/4/04,,,2995 Iowa Ave. Stater 114Riverside Ca 3319,,785
Auto/Transportation,,2/5/04,,,Exxonmobil34 07680523 Riversid Ca,,2535
Other Spending,,2/5/04,,,Interlink Transaction 02/05 Ger4 Exxonmobil Pos Rive Ca 3319 403617677630,,276
Other Spending,,2/5/04,,,Interlink Transaction 02/05 Ger0 Exxonmobil Pos Rive Ca 3319 403617677197,,1479
,,2/5/04,,,Kinko'S #1703 Riverside Ca,,585
Food/Drink,,2/6/04,,,Fatburger Riverside Ca,,709
,,2/6/04,,,Bbs Bar And Grill Riverside Ca,,375
,,2/6/04,,,Campus Shop N Gcampus Shoriverside Ca 3319,,883
Cash/ATM,,2/7/04,,,ATM Withdrawal - 02/07 0887K Riverside Riverside Ca 3319,,2000
Entertainment,,2/7/04,,,Tremors Riverside Ca,,950
Food/Drink,,2/8/04,,,Papa John 2356 Riverside Ca,,969
Groceries,,2/9/04,,,2995 Iowa Ave. Stater 114Riverside Ca 3319,,1687
Auto/Transportation,,2/11/04,,,Union 76 00379982 Riverside Ca,,2774
Other Spending,,2/11/04,,,Monthly Point-Of-Sale (Pos) Purchase Fee,,100
Other Spending,,2/11/04,,,Monthly Service Fee,,375
,,2/13/04,,,Videotown Riverside Ca,,270
,,2/14/04,,,3261 Iowa/Blaingharabikloriverside Ca 3319,,651
,,2/14/04,,,Snow Summit Ticket Sal 909-8668766 Ca,,3500
Auto/Transportation,,2/18/04,,,Union 76 00379982 Riverside Ca,,17063
Food/Drink,,2/18/04,,,Papa John 2356 Riverside Ca,,1427
Auto/Transportation,,2/19/04,,,Union 76 00379982 Riverside Ca,,2100
Cash/ATM,,2/19/04,,,ATM Withdrawal - 02/19 S1E08530 406 Commons Washingtonriverside Ca 3319,,2000
Other Spending,,2/19/04,,,Non-Wells Fargo ATM Transaction Fee,,200
,,2/20/04,,,Hmshost-Smf-Air #00 Sacramento Ca,,1739
,,2/20/04,,,Wolfgang Puck Express S Lake Tahoe Nv,,3041
,,2/22/04,,,Ontario Airport Lot 2 Ontario Ca,,4800
Bills/Utilities,,2/23/04,,,Charter Communications 310-971-4160 Ca,,11456
Food/Drink,,2/23/04,,,Rubio'S Riverside #66 Riverside Ca,,538
Auto/Transportation,,2/25/04,,,Union 76 00379982 Riverside Ca,,2839
Bills/Utilities,,2/26/04,,,Bill Pay The Gas Company On-Line 09092365197 On 02-26,,1574
Cash/ATM,,2/26/04,,,ATM Withdrawal - 02/26 S1E08530 406 Commons Washingtonriverside Ca 3319,,4000
Other Spending,,2/26/04,,,Non-Wells Fargo ATM Transaction Fee,,200
,,2/26/04,,,Bill Pay Wellspring Wirel On-Line 30037360 On 02-26,,2561
,,2/27/04,,,Kinko'S #1703 Riverside Ca,,642
,,2/27/04,,,Kragen #1322 Kragen #Riverside Ca 3319,,2573
Groceries,,2/28/04,,,2995 Iowa Ave. Stater 114Riverside Ca 3319,,3684
,,2/28/04,,,Great Steak And Potato Riverside Ca,,645
Groceries,,3/1/04,,,2995 Iowa Ave. Stater 114Riverside Ca 3319,,3698
Other Spending,,3/1/04,,,Bill Pay Service Fee On 03-01,,695
,,3/1/04,,,Kragen #1573 Kragen #Riverside Ca 3319,,1400
,,3/1/04,,,2650 N Main St L And L Mariverside Ca 3319,,16250
Auto/Transportation,,3/2/04,,,Shell Oil 61106221718 Anaheim Ca,,3065
,,3/2/04,,,7622A Chapman Aorange Hilorange Ca 3319,,235
,,3/3/04,,,Great Steak And Potato Riverside Ca,,430
Cash/ATM,,3/4/04,,,ATM Withdrawal - 03/04 Co9403 800 University Service Plriverside Ca 3319,,4150
Other Spending,,3/4/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Checks Written,,3/5/04,,,Check #309,,47500
Groceries,,3/6/04,,,2995 Iowa Ave. Stater 114Riverside Ca 3319,,4192
Auto/Transportation,,3/8/04,,,Shell Oil 61106221718 Anaheim Ca,,2788
Other Spending,,3/10/04,,,Monthly Point-Of-Sale (Pos) Purchase Fee Total Other Withdrawals,,100
Other Spending,,3/10/04,,,Monthly Service Fee,,375
Food/Drink,,3/11/04,,,Rubio'S Riverside #66 Riverside Ca,,667
,,3/11/04,,,Interlink Transaction 03/11 00Mf68 7 Eleven Store 1 Anah Ca 3319 407119065780,,2031
Food/Drink,,3/12/04,,,Get A Way Cafe Riverside Ca,,625
Food/Drink,,3/12/04,,,Get A Way Cafe Riverside Ca,,1151
Shopping,,3/12/04,,,Music Mikes Riverside Ca,,808
,,3/13/04,,,1250 Universitycarl'S Jr Riverside Ca 3319,,652
,,3/13/04,,,Sumner Cafe Riverside Ca,,1908
Food/Drink,,3/14/04,,,Get A Way Cafe Riverside Ca,,1794
,,3/14/04,,,Jitb #5304 00053041 Riverside Ca,,601
Auto/Transportation,,3/15/04,,,Shell Oil 61106221718 Anaheim Ca,,1091
Bills/Utilities,,3/17/04,,,Bill Pay The Gas Company On-Line 09092365197 On 03-17,,612
Bills/Utilities,,3/17/04,,,Bill Pay Riverside Utilit On-Line 278678132713 On 03-17,,4439
Credit Card/Loan Payments,,3/17/04,,,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 03-17,,10000
Health,,3/17/04,,,5225 Canyon Crerite Aid #Riverside Ca 3319,,1187
Auto/Transportation,,3/18/04,,,Union 76 00379982 Riverside Ca,,2890
Food/Drink,,3/18/04,,,Get A Way Cafe Riverside Ca,,725
Food/Drink,,3/18/04,,,Papa John 2356 Riverside Ca,,969
,,3/18/04,,,Videotown Riverside Ca,,270
Auto/Transportation,,3/19/04,,,Blaine Union 76Blaine Uniriverside Ca 3319,,1269
Cash/ATM,,3/19/04,,,ATM Withdrawal - 03/19 Tcs00155 2900 Townsgate Smartbanks Westlake Vilca 3319,,2150
Other Spending,,3/19/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Entertainment,,3/20/04,,,Club Soda Atascadero Ca,,600
Auto/Transportation,,3/22/04,,,Exxonmobil75 04561189 Atascade Ca,,1001
,,3/22/04,,,905 El Camino Rthe Home Datascadero Ca 3319,,8988
Auto/Transportation,,3/24/04,,,Chevron #00210730 Camarillo Ca,,2165
Groceries,,3/25/04,,,2995 Iowa Ave. Stater 114Riverside Ca 3319,,5004
,,3/27/04,,,Kinko'S #1703 Riverside Ca,,170
Cash/ATM,,3/28/04,,,ATM Withdrawal - 03/28 Scad6808 *U C Riverside B Of A Riverside Ca 3319,,2150
Entertainment,,3/28/04,,,Tremors Riverside Ca,,1350
,,3/28/04,,,Riverside Brewing Co Riverside Ca,,1278
Other Spending,,3/29/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Cash/ATM,,3/30/04,,,ATM Withdrawal - 03/30 S1E08530 406 Commons Washingtonriverside Ca 3319,,2000
Checks Written,,3/30/04,,,Check #310,,2500
Other Spending,,3/30/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Other Spending,,3/30/04,,,Overdraft Fee,,2200
Other Spending,,3/30/04,,,Overdraft Fee,,2200
Auto/Transportation,,4/1/04,,,Union 76 00234450 Riverside Ca,,2519
Other Spending,,4/1/04,,,Bill Pay Service Fee On 04-01,,695
Cash/ATM,,4/3/04,,,ATM Withdrawal - 04/03 S1E08530 406 Commons Washingtonriverside Ca 3319,,2000
Health,,4/3/04,,,Rite Aid Store 5717 Riverside Ca,,1017
Cash/ATM,,4/5/04,,,ATM Withdrawal - 04/05 S1E08530 406 Commons Washingtonriverside Ca 3319,,2000
Cash/ATM,,4/5/04,,,ATM Withdrawal - 04/05 Co9405 1209 Universityservice Plriverside Ca 3319,,6150
Other Spending,,4/5/04,,,Non-Wells Fargo ATM Transaction Fee,,200
