category,subcategory,date,location,payee,description,method,amount
Food/Drink,,7/17/08,,,Emperior Palace Restau San Francisco Ca 48.00,,4800
Shopping,,7/17/08,,,Paypal *Seantevisfo 402-935-7733Ks 8.34,,834
,,7/17/08,,,Tres Agaves San Francisco Ca 19.86,,1986
,,7/17/08,,,Department Of Public H San Francisco Ca 110.00,,11000
Food/Drink,,7/18/08,,,Una Mas Redwood City Ca 202840014208694 9.29,,929
,,7/18/08,,,Standard Plbg & Hardwa San Francisco Ca 7.58,,758
Cash/ATM,,7/19/08,,,ATM Withdrawal 07/19 Cs30549 223 Sutter St Star Ne San Francisco 82.50,,8250
Food/Drink,,7/19/08,,,Panchos Mexican Grill San Francisco Ca 12.09,,1209
Food/Drink,,7/20/08,,,Mcdonald  F356Mcdonald san Francisc Ca 12.99,,1299
Auto/Transportation,,7/21/08,,,Shell Oil 27441747907 San Francisco Ca 50.79,,5079
Food/Drink,,7/21/08,,,Sushi Monster Belmont Ca 204840011517451 22.87,,2287
Other Spending,,7/21/08,,,Non-Wells Fargo ATM Transaction Fee 2.50,,250
Transfers to other Wells Fargo Accounts,,7/21/08,,,Recurring Transfer Ref #Opetcq86Zh To Savings,,1000
,,7/21/08,,,Lucky #755 Lucky #755San Francisc Ca 8.75,,875
Groceries,,7/22/08,,,Nob Hill #628 Nob Hill Redwood City Ca 7.46,,746
Auto/Transportation,,7/24/08,,,Union 76 10032571 San Francisco Ca 51.42,,5142
Food/Drink,,7/24/08,,,The Patio Cafe Redwood City Ca 11.34,,1134
Airlines / Transportation,,7/28/08,,,Mexicana Ai 1327364124 San Antonio Tx 539.11,,53911
Shopping,,7/28/08,,,Paypal *Bazumediain 402-935-7733Ca 5.00,,500
Food/Drink,,7/29/08,,,The Patio Cafe Redwood City Ca 10.81,,1081
,,7/29/08,,,Travelocity.Com 800-256-9089Tx 7.00,,700
Airlines / Transportation,,7/30/08,,,Caltrain Tvm San Carlos Ca 214840006957020 34.00,,3400
Food/Drink,,7/30/08,,,The Patio Cafe Redwood City Ca 13.25,,1325
Food/Drink,,7/31/08,,,Una Mas Redwood City Ca 216840020964815 9.29,,929
Food/Drink,,7/31/08,,,Pluto  1 Marina Q23 San Francisco Ca 12.64,,1264
Food/Drink,,7/31/08,,,May Lee  Restaurant 415-2421006Ca 29.20,,2920
,,7/31/08,,,Department Of Public H San Francisco Ca 95.00,,9500
Auto/Transportation,,8/1/08,,,Union 76 10028231 San Carlos Ca 53.07,,5307
Food/Drink,,8/1/08,,,Starbucks Usa 00055848 San Francisco Ca 3.50,,350
Other Spending,,8/1/08,,,Bill Pay Service Fee On 08/01 6.95,,695
Personal Care,,8/1/08,,,Supercuts Ca #8723 Belmont Ca 17.00,,1700
Shopping,,8/1/08,,,The Sports Basement-Pr San Francisco Ca 26.84,,2684
,,8/1/08,,,Sf Aids Foundation 415-4873000Ca 25.00,,2500
Cash/ATM,,8/2/08,,,ATM Withdrawal 08/02 80891820 1202 Sutter Strslider Dinsan Francisco 62.50,,6250
Food/Drink,,8/2/08,,,Bills Place San Francisco Ca 217840009053451 11.66,,1166
Food/Drink,,8/4/08,,,Genki Ramen 415-7522663Ca 24.68,,2468
Other Spending,,8/4/08,,,Non-Wells Fargo ATM Transaction Fee 2.50,,250
Food/Drink,,8/5/08,,,Gordo Taqueria Ge San Francisco Ca 7.75,,775
Other Spending,,8/5/08,,,Sfgov Parking Ticket P 415-5545785Ca 50.00,,5000
Auto/Transportation,,8/6/08,,,Shell Oil 27441747907 San Francisco Ca 51.11,,5111
Food/Drink,,8/6/08,,,Una Mas Redwood City Ca 221840009337807 8.85,,885
Food/Drink,,8/7/08,,,Nova Bar & Restaurant San Francisco Ca 62.50,,6250
Shopping,,8/7/08,,,The Sports Basement-Pr San Francisco Ca 228.94,,22894
Bills/Utilities,,8/8/08,,,Golden Gate Disp & 415-626-4000Ca 75.24,,7524
Bills/Utilities,,8/8/08,,,Bill Pay Comcast Cable Co On-Line,,12503
Checks Written,,8/8/08,,,check #385,,3700
Food/Drink,,8/8/08,,,Bills Place San Francisco Ca 223840010582145 9.77,,977
Mortgage / Rent,,8/8/08,,,Rent check #388,,84000
,,8/8/08,,,Ktvu American #2 E/042 San Francisco Ca 14.05,,1405
,,8/8/08,,,Marina Bar At Lax El Segundo Ca 36.33,,3633
,,8/10/08,,,Rustica Costa Verde Lima Pe 7.06,,706
Food/Drink,,8/11/08,,,Cafe Britt Callao Pe 226840009300815 8.95,,895
Cash/ATM,,8/12/08,,,ATM Withdrawal 08/12 Ib420649 Av.El Sol 380 Aav.El Sol Cuzco Pe 37.10,,3710
Cash/ATM,,8/12/08,,,ATM Withdrawal 08/12 Ib420649 Av.El Sol 380 Aav.El Sol Cuzco Pe 37.10,,3710
Cash/ATM,,8/12/08,,,ATM Withdrawal 08/12 Ib420734 Mrcal.Castilla Mrcal.Castcuzco Pe 37.95,,3795
Credit Card/Loan Payments,,8/12/08,,,Bill Pay Bank Of America Recurring,,15000
Other Spending,,8/12/08,,,Foreign Curr Conv Fee 225840007928441,,21
Other Spending,,8/12/08,,,Monthly Service Fee 5.00,,500
Other Spending,,8/12/08,,,Non-Wells Fargo ATM Transaction Fee 5.00,,500
Other Spending,,8/13/08,,,Non-Wells Fargo ATM Transaction Fee 5.00,,500
Other Spending,,8/13/08,,,Non-Wells Fargo ATM Transaction Fee 5.00,,500
Transfers to other Wells Fargo Accounts,,8/20/08,,,Recurring Transfer Ref #Opetct268Q To Savings,,1000
